Methods,Call Price,Put Price
MC 10 scenarios,0.08480397368066855,3.880524954485872
MC 100 scenarios,2.393850143733603,1.3899740945210122
MC 1000 scenarios,2.2766967555885778,1.620838230825908
MC 10000 scenarios,2.0175965770213433,1.6237994106172262
Black-Scholes,2.0383131377573314,1.6403064877240539
